state,Total,Writing,Math
Alabama,1146,586,560
Alaska,1110,565,545
Arizona,1159,583,577
Arkansas,1191,610,581
California,1115,560,555
Colorado,1021,551,503
Connecticut,1025,520,505
Delaware,968,449,477
District of Columbia,985,502,484
Florida,983,510,473
Georgia,1060,541,520
Hawaii,1124,566,558
Idaho,968,499,488
Illinois,981,495,485
Indiana,1073,540,533
Iowa,1196,602,594
Kansas,1238,621,617
Kentucky,1219,618,600
Louisiana,1171,597,574
Maine,1081,549,532
Maryland,1075,546,529
Massachusetts,1029,567,561
Michigan,1000,506,495
Minnesota,1225,613,612
Mississippi,1226,623,602
Missouri,1200,606,594
Montana,1206,609,597
Nebraska,1222,613,609
Nevada,1172,592,580
New Hampshire,1050,530,521
New Jersey,1079,543,537
New Mexico,976,496,480
New York,1067,534,533
North Carolina,1136,573,562
North Dakota,1212,610,603
Ohio,1053,528,525
Oklahoma,951,485,467
Oregon,1143,580,567
Pennsylvania,1091,551,540
Rhode Island,971,494,477
South Carolina,1030,526,504
South Dakota,1219,608,611
Tennessee,1200,610,589
Texas,1001,506,495
Utah,1233,618,615
Vermont,1095,558,537
Virginia,1124,572,552
Washington,1096,554,542
West Virginia,938,481,456
Wisconsin,1252,622,629
Wyoming,1244,627,617
