ID,AREA,STATEAB,STATENAME,LAND_AREA,WATER_AREA,HH_MEDIAN,BUYINGPOWER10_6,BUYMALE,BUYFEMALE,POPULATION,MALE,FEMALE,MEDIANAGE,WHITE,BLACK,ASIAN,HISPANIC,NOT_HISPAN,AGE_5,AGE_5_TO_9,AGE_10_TO_,AGE_15_TO_,AGE_20_TO_,AGE_25_TO_,AGE_35_TO_,AGE_45_TO_,AGE_55_TO_,AGE_60_TO_,AGE_65_TO_,AGE_75_TO_,AGE_85
1,583339.5,AK,Alaska,571022.38,94741.81,77790,18279,922680371.3,1728575764,736990,384653,352337,34.6,466961,23894,47289,53059,683931,52302,52825,49395,46257,52775,118606,94294,89051,49124,44732,59344,21404,6881
265,6449.92,HI,Hawaii,6422.48,4547.38,83173,41617,2367505866,5132205509,1420074,712250,707824,39.4,342923,26717,534519,152566,1267508,88179,84349,83438,76036,91649,202718,180102,171383,90656,90357,148050,72828,40329
1025,32452.2,ME,Maine,30845.1,4534.75,59489,37111,1456253417,3199909851,1340825,656628,684197,44.8,1256030,18635,15270,23143,1317682,63988,69048,72211,78076,75117,160920,153856,180280,106687,104075,164466,77681,34420
1281,264947.16,TX,Texas,261267.84,7327.97,63826,830000,36165467258,95001064451,28635442,14221720,14413722,34.8,19805623,3464424,1415664,11294257,17341185,1997007,2016752,2130618,2040331,2000883,4210488,3888044,3542967,1702570,1512413,2166863,1019395,407111
1537,31003.84,SC,South Carolina,30064.28,1959.2,54864,126000,5021467943,15582804353,5091517,2468682,2622835,39.7,3386329,1346560,83573,296897,4794620,291651,305738,321581,329239,330682,670511,616484,645429,341047,338459,551909,262262,86525
1538,41214.82,OH,Ohio,40858.76,3967.07,58116,320000,13894588238,34066626017,11675275,5721796,5953479,39.5,9394878,1442655,268527,459939,11215336,692983,701584,745426,763727,756589,1539254,1395833,1483840,826243,779175,1154006,575966,260649
1539,24211.7,WV,West Virginia,24041.15,188.88,48037,35717,1625548897,3717625395,1807426,893743,913683,42.7,1672255,64285,14228,28679,1778747,95692,99993,105766,108625,113481,214471,217159,233673,126218,132102,213587,106236,40423
1793,47689.95,MS,Mississippi,46923.96,1511.9,46511,56417,2374233525,8827234874,2981835,1443708,1538127,37.7,1729353,1123545,29742,94342,2887493,185274,191951,208237,208127,205134,386125,371392,367947,194067,189311,282944,139645,51681
1794,51683.21,AL,Alabama,50647.13,1772.95,52035,114000,4212773532,13833020579,4893186,2365734,2527452,39.2,3302834,1301319,67909,212951,4680235,293932,294776,315204,321308,323960,641867,595256,625832,331903,321714,491041,247768,88625
2049,110469.66,NV,Nevada,109860.45,710.3,62043,91543,5290654792,10720712359,3030281,1520196,1510085,38.2,1881048,282722,252314,875798,2154483,184141,188497,200113,181129,182581,443752,403095,393735,196759,178459,295029,137638,45353
2050,114010,AZ,Arizona,113653.42,331.61,61529,189000,8954451414,19372966188,7174064,3564979,3609085,37.9,5292498,325105,239190,2260690,4913374,431224,444859,482609,478165,491151,986787,882115,850945,436015,427990,729598,392221,140385
2051,84820.93,UT,Utah,82376.85,2521.24,74197,89167,3657125642,7523087823,3151239,1586950,1564289,31.1,2682881,38059,73190,446067,2705172,248602,262299,263035,248689,260142,464837,432559,323393,152927,145746,210044,102727,36239
2052,83394.98,ID,Idaho,82645.14,923.39,58915,48457,2091522377,4109846529,1754367,879763,874604,36.6,1550979,11536,24501,222967,1531400,114332,123732,129697,124202,117060,229648,221846,201309,108611,106186,168577,80234,28933
2053,146647.61,MT,Montana,145550.36,1492.94,56539,28376,1171450086,2064124986,1061705,534128,527577,40.1,932157,5919,8664,41501,1020204,61338,62765,66123,64483,72308,136525,127669,120608,74216,77551,119784,57050,21285
