State,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0.000,1496.100,382.083,2016.385,1159.786,990.813,764.001,179.160,145.750,1793.408,544.903,509.629,752.497,698.922,408.471,317.561,1213.136,714.047,1082.275,720.548,941.444,227.276,540.391,1676.797,818.732,1925.850,1097.168,839.292,1147.634,986.282,497.847,1256.704,554.377,678.673,2144.082,743.797,1046.433,324.925,1121.724,262.564,691.677,1529.156,1105.304,615.812,2169.976,488.541,756.680,1188.306
Arizona,1496.100,0.000,1136.118,633.897,585.504,2215.656,2063.077,1641.092,1592.045,735.865,1316.487,1498.868,1155.180,991.885,1555.890,1241.992,2370.575,2010.633,2299.980,1621.558,1285.586,1273.015,1166.703,906.643,986.893,582.312,2278.191,2103.486,382.308,2163.409,1902.974,1096.903,1667.324,842.092,985.262,1975.465,2280.841,1781.066,981.151,1445.899,869.798,504.363,2232.406,1962.116,1096.164,1733.624,1394.770,663.581
Arkansas,382.083,1136.118,0.000,1635.864,779.277,1167.986,974.720,553.243,457.329,1415.220,377.426,483.508,477.312,350.941,475.977,302.481,1364.998,920.755,1259.624,690.783,705.629,207.883,264.187,1314.312,482.581,1544.572,1255.761,1031.950,774.220,1137.061,774.469,943.453,624.680,300.446,1766.076,911.063,1231.342,644.952,790.038,325.539,442.948,1147.572,1236.592,851.821,1797.246,643.064,595.333,812.880
California,2016.385,633.897,1635.864,0.000,887.929,2557.853,2451.400,2179.357,2085.906,443.583,1701.555,1885.849,1484.395,1388.153,1974.141,1807.023,2668.661,2403.413,2630.824,1945.681,1521.965,1808.402,1579.963,732.317,1325.186,100.876,2595.636,2473.465,879.725,2491.715,2350.380,1192.386,2049.569,1337.788,446.656,2347.465,2620.696,2261.201,1163.365,1905.467,1465.997,532.633,2532.572,2379.687,588.543,2144.952,1699.914,901.764
Colorado,1159.786,585.504,779.277,887.929,0.000,1691.566,1569.375,1332.517,1212.215,638.020,815.470,1000.774,610.361,500.510,1086.269,1008.310,1824.677,1520.171,1769.979,1081.538,706.108,973.161,692.403,591.435,444.134,790.362,1740.920,1596.539,284.247,1631.020,1462.902,532.722,1166.568,503.586,988.460,1469.135,1755.820,1380.139,398.683,1022.367,770.472,371.467,1686.427,1492.593,1029.468,1257.840,841.433,97.066
Connecticut,990.813,2215.656,1167.986,2557.853,1691.566,0.000,234.381,1013.770,845.422,2194.547,899.440,720.151,1081.230,1224.006,692.374,1291.698,228.478,278.840,92.642,612.443,1049.285,1164.062,1052.858,1963.106,1248.288,2457.157,115.143,152.913,1833.435,82.663,523.375,1428.662,554.689,1406.303,2505.241,257.721,65.225,703.332,1405.268,850.979,1603.513,2025.425,172.419,386.498,2469.451,529.366,857.941,1659.840
Delaware,764.001,2063.077,974.720,2451.400,1569.375,234.381,0.000,779.685,618.253,2114.770,755.948,570.061,967.703,1081.022,509.836,1071.196,462.793,53.965,321.983,532.654,986.014,948.445,897.482,1904.671,1126.847,2351.665,348.119,83.603,1681.830,258.271,289.049,1377.310,402.841,1234.013,2440.487,117.624,284.097,469.240,1326.254,650.374,1399.983,1920.129,383.861,152.405,2418.689,333.644,771.009,1549.767
Florida,179.160,1641.092,553.243,2179.357,1332.517,1013.770,779.685,0.000,228.219,1968.061,713.122,651.922,928.521,877.744,535.173,412.148,1241.680,736.022,1101.350,847.965,1110.142,371.740,718.763,1855.471,997.887,2090.529,1126.060,861.129,1304.615,1023.930,492.340,1433.946,660.474,843.116,2318.892,786.659,1062.592,310.452,1300.539,420.430,803.822,1700.208,1148.196,627.324,2347.020,565.279,915.744,1364.102
Georgia,145.750,1592.045,457.329,2085.906,1212.215,845.422,618.253,228.219,0.000,1835.726,509.069,426.549,739.630,726.871,307.178,458.604,1068.450,568.352,936.739,619.764,901.767,350.980,547.599,1697.329,833.676,1992.591,952.389,693.698,1231.311,842.427,355.680,1245.595,435.216,757.098,2184.620,600.109,900.765,193.555,1124.693,215.030,819.036,1583.678,962.549,470.358,2200.718,352.358,697.702,1229.701
Idaho,1793.408,735.865,1415.220,443.583,638.020,2194.547,2114.770,1968.061,1835.726,0.000,1391.614,1567.482,1156.235,1109.729,1671.670,1643.621,2283.857,2070.589,2260.777,1590.220,1145.412,1611.091,1296.415,288.998,1016.650,358.766,2220.222,2126.130,772.649,2123.201,2054.349,782.799,1721.611,1140.619,350.857,2004.357,2255.041,1992.953,790.661,1635.579,1368.935,296.172,2150.937,2062.662,402.723,1831.317,1345.647,606.345
